
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
424,James Washington*,North Carolina State,ACC,8,27,185,6.9,1,71,215,3.0,1,98,400,4.1,2,james-washington-1
425,Kyle Adams,Purdue,Big Ten,12,36,244,6.8,0,,,,,36,244,6.8,0,kyle-adams-1
426,Trey Burton*,Florida,SEC,13,32,210,6.6,1,75,349,4.7,11,107,559,5.2,12,trey-burton-1
427,Jacquizz Rodgers,Oregon State,Pac-10,12,44,287,6.5,3,256,1184,4.6,14,300,1471,4.9,17,jacquizz-rodgers-1
428,Fozzy Whittaker,Texas,Big 12,11,34,217,6.4,0,80,351,4.4,2,114,568,5.0,2,fozzy-whittaker-1
429,Eric Stephens*,Texas Tech,Big 12,13,33,212,6.4,2,127,668,5.3,6,160,880,5.5,8,eric-stephens-1
430,Lindsey Lamar*,South Florida,Big East,13,25,161,6.4,0,12,37,3.1,0,37,198,5.4,0,lindsey-lamar-1
431,Daniel Thomas*,Kansas State,Big 12,13,27,171,6.3,0,298,1585,5.3,19,325,1756,5.4,19,daniel-thomas-1
432,Giavanni Ruffin*,East Carolina,CUSA,13,25,157,6.3,1,85,384,4.5,2,110,541,4.9,3,giavanni-ruffin-1
433,Matt Asiata*,Utah,MWC,13,32,195,6.1,1,155,695,4.5,8,187,890,4.8,9,matt-asiata-1
